trip_id,started_at,ended_at,start_lat,start_lng,end_lat,end_lng
136,01-02-2023 06:08,01-02-2023 06:08,38.9101,-77.0444,38.9101,-77.0444
137,01-02-2023 06:08,01-02-2023 06:11,38.924088,-77.040787,38.917761,-77.04062
138,01-02-2023 06:09,01-02-2023 06:17,38.90304,-77.019027,38.89696,-77.00493
139,01-02-2023 06:09,01-02-2023 06:20,38.9101,-77.0444,38.888255,-77.0494365
140,01-02-2023 06:09,01-02-2023 06:20,38.95548,-76.940133,38.965742,-76.954803
141,01-02-2023 06:10,01-02-2023 06:16,38.88731683,-76.98355317,38.88409515,-76.99523449
142,01-02-2023 06:10,01-02-2023 06:16,38.892179,-76.9959335,38.895344,-77.016106
143,01-02-2023 06:10,01-02-2023 06:24,38.83683765,-77.05727398,38.8577851,-77.05169767
144,01-02-2023 06:11,01-02-2023 06:19,38.908643,-77.012365,38.9172,-77.0259
145,01-02-2023 06:12,01-02-2023 06:19,38.889908,-76.983326,38.89696,-77.00493
146,01-02-2023 06:12,01-02-2023 06:20,38.89696,-77.00493,38.8763,-77.0037
147,01-02-2023 06:12,01-02-2023 06:24,38.89696,-77.00493,38.88627695,-77.02824175
148,01-02-2023 06:13,01-02-2023 06:20,38.89994163,-76.99489653,38.886952,-76.996806
149,01-02-2023 06:14,01-02-2023 06:26,38.8851,-77.0023,38.89967,-77.003666
150,01-02-2023 06:14,01-02-2023 06:27,38.89696,-77.00493,38.876737,-76.994468
151,01-02-2023 06:15,01-02-2023 06:20,38.90864,-77.02277,38.90980063,-77.03442693
152,01-02-2023 06:15,01-02-2023 06:27,38.9190185,-77.034449,38.901539,-77.046564
153,01-02-2023 06:16,01-02-2023 06:21,38.9086,-77.0323,38.9055785,-77.027313
154,01-02-2023 06:17,01-02-2023 06:25,38.897195,-76.983575,38.88409515,-76.99523449
155,01-02-2023 06:18,01-02-2023 06:26,38.920387,-77.025672,38.909858,-77.038566
156,01-02-2023 06:18,01-02-2023 06:29,38.90864,-77.02277,38.903584,-77.044789
157,01-02-2023 06:20,01-02-2023 06:24,38.9155935,-77.03816883,38.9101,-77.0444
158,01-02-2023 06:20,01-02-2023 06:31,38.856425,-77.049232,38.856425,-77.049232
159,01-02-2023 06:20,01-02-2023 06:40,38.915417,-77.012289,38.901539,-77.046564
160,01-02-2023 06:21,01-02-2023 06:27,38.911268,-77.041829,38.901539,-77.046564
161,01-02-2023 06:21,01-02-2023 06:31,38.90276,-77.03863,38.90093,-77.018677
162,01-02-2023 06:22,01-02-2023 06:28,38.921074,-77.031887,38.917716,-77.022684
163,01-02-2023 06:22,01-02-2023 06:30,38.920669,-77.04368,38.901755,-77.051084
164,01-02-2023 06:22,01-02-2023 06:36,38.910674,-77.03188,38.894573,-77.01994
165,01-02-2023 06:23,01-02-2023 06:25,38.9055785,-77.027313,38.905737,-77.02227
166,01-02-2023 06:23,01-02-2023 06:29,38.87885438,-77.00572729,38.8792,-76.9953
167,01-02-2023 06:24,01-02-2023 06:31,38.9086,-77.0323,38.917716,-77.022684
168,01-02-2023 06:24,01-02-2023 06:39,38.930915,-77.031259,38.90093,-77.018677
169,01-02-2023 06:25,01-02-2023 06:32,38.9190185,-77.034449,38.903584,-77.044789
170,01-02-2023 06:25,01-02-2023 06:34,38.876751,-77.000736,38.886952,-76.996806
171,01-02-2023 06:26,01-02-2023 06:34,38.894972,-77.003135,38.89728305,-77.02219069
172,01-02-2023 06:26,01-02-2023 06:35,38.911268,-77.041829,38.894919,-77.046587
173,01-02-2023 06:27,01-02-2023 06:29,38.88715,-77.16212,38.88532072,-77.1564272
174,01-02-2023 06:27,01-02-2023 06:31,38.90579183,-77.04737567,38.912644,-77.04564
175,01-02-2023 06:27,01-02-2023 06:37,38.929464,-77.027822,38.90980063,-77.03442693
176,01-02-2023 06:29,01-02-2023 06:55,38.920669,-77.04368,38.934881,-77.072755
177,01-02-2023 06:30,01-02-2023 06:35,38.9255295,-77.0270495,38.918809,-77.041571
178,01-02-2023 06:30,01-02-2023 06:37,38.899972,-76.998347,38.89484064,-76.99591577
179,01-02-2023 06:32,01-02-2023 06:37,38.820064,-77.057619,38.813474,-77.053734
180,01-02-2023 06:32,01-02-2023 06:40,38.983838,-77.09221,38.994113,-77.076986
181,01-02-2023 06:32,01-02-2023 06:43,38.915417,-77.012289,38.9059957,-77.03980207
182,01-02-2023 06:32,01-02-2023 06:43,38.89696,-77.00493,38.876751,-77.000736
183,01-02-2023 06:32,01-02-2023 06:43,38.91,-77.01,38.881185,-77.001828
184,01-02-2023 06:33,01-02-2023 06:39,38.89696,-77.00493,38.887378,-77.001955
185,01-02-2023 06:33,01-02-2023 06:39,38.931991,-77.032956,38.921074,-77.031887
186,01-02-2023 06:33,01-02-2023 06:39,38.931991,-77.032956,38.921074,-77.031887
187,01-02-2023 06:33,01-02-2023 06:46,38.905697,-77.005483,38.902204,-77.04337
188,01-02-2023 06:34,01-02-2023 06:47,38.917622,-77.01597,38.903584,-77.044789
189,01-02-2023 06:34,01-02-2023 06:57,38.915544,-77.038252,38.928743,-77.012457
190,01-02-2023 06:35,01-02-2023 06:45,38.90571079,-77.04731762,38.90375,-77.06269
191,01-02-2023 06:35,01-02-2023 06:45,38.910972,-77.00495,38.894573,-77.01994
192,01-02-2023 06:36,01-02-2023 06:38,38.917716,-77.022684,38.91417364,-77.02159524
193,01-02-2023 06:36,01-02-2023 06:46,38.863743,-77.013814,38.87501,-77.0024
194,01-02-2023 06:36,01-02-2023 06:49,38.9121,-77.0387,38.888774,-77.028694
195,01-02-2023 06:37,01-02-2023 06:44,38.90980063,-77.03442693,38.90571079,-77.04731762
196,01-02-2023 06:37,01-02-2023 06:59,38.89222,-76.99602,38.89968,-77.041539
197,01-02-2023 06:38,01-02-2023 06:47,38.89967,-77.003666,38.876751,-77.000736
198,01-02-2023 06:38,01-02-2023 06:47,38.91421867,-77.02163367,38.89696,-77.00493
199,01-02-2023 06:38,01-02-2023 06:49,38.829545,-77.047844,38.861056,-77.049417
200,01-02-2023 06:38,01-02-2023 06:50,38.9181595,-77.0047505,38.93,-77.02
201,01-02-2023 06:39,01-02-2023 06:45,38.91493817,-77.00777817,38.91693645,-77.02963114
202,01-02-2023 06:39,01-02-2023 07:01,38.955314,-77.368416,38.936061,-77.337775
203,01-02-2023 06:40,01-02-2023 06:47,38.89622604,-76.99278563,38.899703,-77.008911
204,01-02-2023 06:40,01-02-2023 06:50,38.90304,-77.019027,38.90042674,-76.98825002
205,01-02-2023 06:40,01-02-2023 06:50,38.88408633,-76.99524083,38.88,-77.02
206,01-02-2023 06:40,01-02-2023 06:51,38.893028,-77.026013,38.900283,-77.029822
207,01-02-2023 06:41,01-02-2023 07:03,38.88732,-76.983569,38.910972,-77.00495
208,01-02-2023 06:42,01-02-2023 06:46,38.89728305,-77.02219069,38.90304,-77.019027
209,01-02-2023 06:42,01-02-2023 06:51,38.9059,-77.0325,38.899408,-77.015289
